"id","id_competition","competition_name","competition_official_name","competition_initial_date","competition_final_date","competition_url_image","competition_url_image_negative","id_edition","edition_year","id_phase","id_subphase","id_round","id_matchweek","id_match","period","id_edition_license_team","is_local","id_team","id_local_team","local_team_id_team_denomination","local_team_team_actual_name","local_team_team_actual_short_name","local_team_team_abbrev_name","id_visitor_team","visitor_team_id_team_denomination","visitor_team_team_actual_name","visitor_team_team_actual_short_name","visitor_team_team_abbrev_name","id_license","license_id","license_id_person","license_licenseStr","license_licenseStr15","license_licenseAbbrev","license_licenseNick","license_id_type","license_active","id_license_type","id_license_subtype","matches","pno","points","time_played","3pt_success","3pt_tried","3pt_percentage","2pt_success","2pt_tried","2pt_percentage","1pt_success","1pt_tried","1pt_percentage","defensive_rebound","offensive_rebound","total_rebound","asis","steals","turnovers","counter_attack","blocks","received_blocks","dunks","personal_fouls","received_fouls","val","starting","playing","differential","disqualified"
1327064,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",83,2018,107,NA,NA,2745,18132,NA,NA,FALSE,3211,3217,2001,"Cafés Candelas Breogán","Cafés Candelas","BRE",3211,2042,"Divina Seguros Joventut","Divina Joventut","JOV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1327063,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",83,2018,107,NA,NA,2745,18132,NA,NA,TRUE,3217,3217,2001,"Cafés Candelas Breogán","Cafés Candelas","BRE",3211,2042,"Divina Seguros Joventut","Divina Joventut","JOV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,2,3,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0
1327062,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",83,2018,107,NA,NA,2745,18132,NA,59186,FALSE,3211,3217,2001,"Cafés Candelas Breogán","Cafés Candelas","BRE",3211,2042,"Divina Seguros Joventut","Divina Joventut","JOV",20212967,20212967,20212967,"Conor Seamus Morgan ","Conor Morgan","C. Morgan","Morgan","202",FALSE,202,NA,1,"4",16,1524,2,6,33,2,5,40,6,8,75,2,0,2,1,1,0,0,2,1,1,2,6,16,1,0,6,0
1327060,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",83,2018,107,NA,NA,2745,18132,NA,59134,TRUE,3217,3217,2001,"Cafés Candelas Breogán","Cafés Candelas","BRE",3211,2042,"Divina Seguros Joventut","Divina Joventut","JOV",20212962,20212962,20212962,"Johan Jerker Lofberg","Johan Löfberg","J. Lofberg","Lofberg","202",FALSE,202,NA,1,"12",0,180,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-5,0
1327059,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",83,2018,107,NA,NA,2745,18132,NA,59141,TRUE,3217,3217,2001,"Cafés Candelas Breogán","Cafés Candelas","BRE",3211,2042,"Divina Seguros Joventut","Divina Joventut","JOV",20212773,20212773,20212773,"Volodymyr Herun ","Volodymyr Gerun","V. Gerun","Gerun","202",FALSE,202,NA,1,"52",13,1730,0,0,0,6,8,75,1,1,100,5,3,8,0,1,1,0,1,1,1,3,4,20,1,0,7,0
1327058,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",83,2018,107,NA,NA,2745,18132,NA,59184,FALSE,3211,3217,2001,"Cafés Candelas Breogán","Cafés Candelas","BRE",3211,2042,"Divina Seguros Joventut","Divina Joventut","JOV",20212423,20212423,20212423,"Simon Fredrik Stefan Birgander ","Simon Birgander","S. Birgander","Birgander","202",FALSE,202,NA,1,"35",6,969,0,0,0,3,7,42,0,1,0,4,1,5,1,1,0,0,0,1,1,1,1,7,0,0,-4,0
1327055,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",83,2018,107,NA,NA,2745,18132,NA,59132,TRUE,3217,3217,2001,"Cafés Candelas Breogán","Cafés Candelas","BRE",3211,2042,"Divina Seguros Joventut","Divina Joventut","JOV",20212204,20212204,20212204,"Aleksandar Cvetkovic ","Aleksandar Cvetkovic","A. Cvetkovic","Cvetkovic","202",FALSE,202,NA,1,"4",14,1453,3,5,60,2,3,66,1,1,100,0,0,0,6,0,2,0,0,1,0,1,3,16,1,0,4,0
1327054,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",83,2018,107,NA,NA,2745,18132,NA,59192,FALSE,3211,3217,2001,"Cafés Candelas Breogán","Cafés Candelas","BRE",3211,2042,"Divina Seguros Joventut","Divina Joventut","JOV",20211947,20211947,20211947,"Nicolas  Laprovittola ","Nico Laprovittola","N. Laprovittola","Laprovittola","202",FALSE,202,NA,1,"10",13,2098,2,5,40,2,4,50,3,3,100,4,1,5,9,0,8,0,0,1,0,2,5,16,1,0,3,0
1327053,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",83,2018,107,NA,NA,2745,18132,NA,59182,FALSE,3211,3217,2001,"Cafés Candelas Breogán","Cafés Candelas","BRE",3211,2042,"Divina Seguros Joventut","Divina Joventut","JOV",20211660,20211660,20211660,"Xabier  López-Arostegui Eskauriaza","Xabi López-Arostegui","López-Arostegui","López-A.","202",FALSE,202,NA,1,"6",7,1023,1,2,50,2,3,66,0,0,0,2,1,3,0,0,0,0,0,1,0,4,0,3,1,0,2,0
1327051,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",83,2018,107,NA,NA,2745,18132,NA,59183,FALSE,3211,3217,2001,"Cafés Candelas Breogán","Cafés Candelas","BRE",3211,2042,"Divina Seguros Joventut","Divina Joventut","JOV",20211451,20211451,20211451,"Nenad Dimitrijevic ","Nenad Dimitrijevic","N. Dimitrijevic","Dimitrijevic","202",FALSE,202,NA,1,"0",12,971,2,4,50,3,5,60,0,0,0,3,1,4,1,0,1,0,0,0,1,3,0,9,0,0,9,0
