"id","id_competition","competition_name","competition_official_name","competition_initial_date","competition_final_date","competition_url_image","competition_url_image_negative","id_edition","edition_year","id_phase","id_subphase","id_round","id_matchweek","id_match","period","id_edition_license_team","is_local","id_team","id_local_team","local_team_id_team_denomination","local_team_team_actual_name","local_team_team_actual_short_name","local_team_team_abbrev_name","id_visitor_team","visitor_team_id_team_denomination","visitor_team_team_actual_name","visitor_team_team_actual_short_name","visitor_team_team_abbrev_name","id_license","license_id","license_id_person","license_licenseStr","license_licenseStr15","license_licenseAbbrev","license_licenseNick","license_id_type","license_active","id_license_type","id_license_subtype","matches","pno","points","time_played","3pt_success","3pt_tried","3pt_percentage","2pt_success","2pt_tried","2pt_percentage","1pt_success","1pt_tried","1pt_percentage","defensive_rebound","offensive_rebound","total_rebound","asis","steals","turnovers","counter_attack","blocks","received_blocks","dunks","personal_fouls","received_fouls","val","starting","playing","differential","disqualified","...1"
2228057,3,"Supercopa","Supercopa Endesa",477108000,NA,"https://static.acb.com/img/14/39/3/27868634006.png","https://static.acb.com/img/1c/1a/3d/27940034120.png",91,2026,103,292,351,6049,105681,NA,94297,FALSE,4484,4482,3417,"Asisa Joventut","Asisa Joventut","JOV",4484,3418,"Kosner Baskonia","Kosner Baskonia","BKN",20210830,20210830,20210830,"Tadas Sedekerskis","Tadas Sedekerskis","T. Sedekerskis","Sedekerskis","202",FALSE,202,NA,1,"8",6,1035,0,0,0,3,5,60,0,1,0,3,2,5,4,0,0,2,0,0,0,1,2,13,1,0,5,0,NA
2228052,3,"Supercopa","Supercopa Endesa",477108000,NA,"https://static.acb.com/img/14/39/3/27868634006.png","https://static.acb.com/img/1c/1a/3d/27940034120.png",91,2026,103,292,351,6049,105681,NA,94180,TRUE,4482,4482,3417,"Asisa Joventut","Asisa Joventut","JOV",4484,3418,"Kosner Baskonia","Kosner Baskonia","BKN",20210498,20210498,20210498,"Ludvig Erik Hakanson ","Ludde Hakanson","L. Hakanson","Hakanson","202",FALSE,202,NA,1,"12",2,972,0,3,0,1,2,50,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,-2,0,0,6,0,NA
2228049,3,"Supercopa","Supercopa Endesa",477108000,NA,"https://static.acb.com/img/14/39/3/27868634006.png","https://static.acb.com/img/1c/1a/3d/27940034120.png",91,2026,103,292,351,6049,105681,NA,94183,TRUE,4482,4482,3417,"Asisa Joventut","Asisa Joventut","JOV",4484,3418,"Kosner Baskonia","Kosner Baskonia","BKN",30004053,30004053,21103564,"Isaac  Nogués Gonzalez","Isaac Nogués","I. Nogués","Nogués","202",FALSE,202,NA,1,"32",0,462,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,0,1,0,1,0,1,7,0,NA
2228061,3,"Supercopa","Supercopa Endesa",477108000,NA,"https://static.acb.com/img/14/39/3/27868634006.png","https://static.acb.com/img/1c/1a/3d/27940034120.png",91,2026,103,292,351,6049,105681,NA,NA,FALSE,4484,4482,3417,"Asisa Joventut","Asisa Joventut","JOV",4484,3418,"Kosner Baskonia","Kosner Baskonia","BKN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,1,0,0,0,0,0,0,3,0,0,0,0,NA
2228047,3,"Supercopa","Supercopa Endesa",477108000,NA,"https://static.acb.com/img/14/39/3/27868634006.png","https://static.acb.com/img/1c/1a/3d/27940034120.png",91,2026,103,292,351,6049,105681,NA,94185,TRUE,4482,4482,3417,"Asisa Joventut","Asisa Joventut","JOV",4484,3418,"Kosner Baskonia","Kosner Baskonia","BKN",20201871,20201871,20201871,"Ricard  Rubio Vives","Ricky Rubio","R. Rubio","Rubio","202",FALSE,202,NA,1,"9",13,1311,0,3,0,4,6,66,5,7,71,6,0,6,3,0,4,0,0,0,0,3,6,14,1,1,4,0,NA
2228046,3,"Supercopa","Supercopa Endesa",477108000,NA,"https://static.acb.com/img/14/39/3/27868634006.png","https://static.acb.com/img/1c/1a/3d/27940034120.png",91,2026,103,292,351,6049,105681,NA,94186,TRUE,4482,4482,3417,"Asisa Joventut","Asisa Joventut","JOV",4484,3418,"Kosner Baskonia","Kosner Baskonia","BKN",30005413,30005413,21104890,"Rejean Amor Ellis","Boogie Ellis","B. Ellis","Ellis","202",FALSE,202,NA,1,"3",10,803,2,3,66,2,7,28,0,0,0,1,0,1,0,0,1,2,0,2,0,2,3,3,1,0,1,0,NA
2228053,3,"Supercopa","Supercopa Endesa",477108000,NA,"https://static.acb.com/img/14/39/3/27868634006.png","https://static.acb.com/img/1c/1a/3d/27940034120.png",91,2026,103,292,351,6049,105681,NA,94301,FALSE,4484,4482,3417,"Asisa Joventut","Asisa Joventut","JOV",4484,3418,"Kosner Baskonia","Kosner Baskonia","BKN",30003941,30003941,21103465,"Clement  Frisch ","Clement Frisch","C. Frisch","Frisch","202",FALSE,202,NA,1,"25",3,566,1,4,25,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,-2,0,0,-9,0,NA
2228058,3,"Supercopa","Supercopa Endesa",477108000,NA,"https://static.acb.com/img/14/39/3/27868634006.png","https://static.acb.com/img/1c/1a/3d/27940034120.png",91,2026,103,292,351,6049,105681,NA,94296,FALSE,4484,4482,3417,"Asisa Joventut","Asisa Joventut","JOV",4484,3418,"Kosner Baskonia","Kosner Baskonia","BKN",20211797,20211797,20211797,"Rodions  Kurucs ","Rodions Kurucs","R. Kurucs","Kurucs","202",FALSE,202,NA,1,"7",7,1090,0,1,0,2,3,66,3,7,42,2,2,4,0,1,1,0,0,0,0,5,5,5,1,0,1,0,NA
2228043,3,"Supercopa","Supercopa Endesa",477108000,NA,"https://static.acb.com/img/14/39/3/27868634006.png","https://static.acb.com/img/1c/1a/3d/27940034120.png",91,2026,103,292,351,6049,105681,NA,94189,TRUE,4482,4482,3417,"Asisa Joventut","Asisa Joventut","JOV",4484,3418,"Kosner Baskonia","Kosner Baskonia","BKN",20211947,20211947,20211947,"Nicolas  Laprovittola ","Nico Laprovittola","N. Laprovittola","Laprovittola","202",FALSE,202,NA,1,"10",27,1618,5,10,50,3,7,42,6,9,66,0,0,0,10,1,3,5,0,0,0,3,8,28,0,1,15,0,NA
2228041,3,"Supercopa","Supercopa Endesa",477108000,NA,"https://static.acb.com/img/14/39/3/27868634006.png","https://static.acb.com/img/1c/1a/3d/27940034120.png",91,2026,103,292,351,6049,105681,NA,94197,TRUE,4482,4482,3417,"Asisa Joventut","Asisa Joventut","JOV",4484,3418,"Kosner Baskonia","Kosner Baskonia","BKN",30003447,30003447,21102999,"Adrian  Torres De la torre","Adrián Torres","A. Torres","Torres","202",FALSE,202,NA,0,"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
