"id","id_competition","competition_name","competition_official_name","competition_initial_date","competition_final_date","competition_url_image","competition_url_image_negative","id_edition","edition_year","id_phase","id_subphase","id_round","id_matchweek","id_match","period","id_edition_license_team","is_local","id_team","id_local_team","local_team_id_team_denomination","local_team_team_actual_name","local_team_team_actual_short_name","local_team_team_abbrev_name","id_visitor_team","visitor_team_id_team_denomination","visitor_team_team_actual_name","visitor_team_team_actual_short_name","visitor_team_team_abbrev_name","match_number","points","time_played","x3pt_success","x3pt_tried","x3pt_percentage","x2pt_success","x2pt_tried","x2pt_percentage","x1pt_success","x1pt_tried","x1pt_percentage","defensive_rebound","offensive_rebound","total_rebound","asis","steals","turnovers","counter_attack","blocks","received_blocks","dunks","personal_fouls","received_fouls","val","differential","tournament_number2","defeats","victories","tie","team_score","rival_team_score","timeouts","time_as_leader","leader_changes","maximun_difference","points_after_steal","points_in_the_paint","second_opportinity_points","bench_points","best_streak"
2137475,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5884,104467,NA,NA,FALSE,4386,4397,2671,"Valencia Basket","Valencia Basket","VBC",4386,2660,"Barça","Barça","BAR",1,81,12000,9,35,25,23,41,56,8,12,66,21,16,37,16,8,12,9,3,2,4,21,19,81,-60,-1,13,0,0,81,93,4,82,0,3,7,44,13,46,6
2137474,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5884,104467,NA,NA,TRUE,4397,4397,2671,"Valencia Basket","Valencia Basket","VBC",4386,2660,"Barça","Barça","BAR",1,93,12000,12,25,48,17,32,53,23,28,82,27,8,35,24,6,13,13,2,2,3,19,20,113,60,-1,0,13,0,93,81,1,2213,1,18,4,28,7,52,10
2137282,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5884,104466,NA,NA,TRUE,4393,4393,2667,"UCAM Murcia","UCAM Murcia","UCM",4385,2659,"MoraBanc Andorra","MoraBanc And","MBA",1,95,12000,14,33,42,18,33,54,17,18,94,28,15,43,30,9,15,12,0,2,10,22,15,118,155,-1,0,13,0,95,64,0,2050,2,34,2,36,4,44,11
2137283,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5884,104466,NA,NA,FALSE,4385,4393,2667,"UCAM Murcia","UCAM Murcia","UCM",4385,2659,"MoraBanc Andorra","MoraBanc And","MBA",1,64,12000,5,21,23,16,39,41,17,23,73,16,11,27,16,6,13,6,2,0,1,15,21,63,-155,-1,13,0,0,64,95,3,269,1,4,4,30,8,38,5
2137118,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5884,104465,NA,NA,TRUE,4392,4392,2666,"Casademont Zaragoza","Casademont Zgz","CAZ",4398,2710,"Baskonia","Baskonia","BKN",1,107,12000,8,26,30,34,54,62,15,22,68,28,15,43,24,8,14,10,1,4,4,23,24,121,95,-1,0,13,0,107,88,3,2125,1,20,6,64,13,41,11
2137119,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5884,104465,NA,NA,FALSE,4398,4392,2666,"Casademont Zaragoza","Casademont Zgz","CAZ",4398,2710,"Baskonia","Baskonia","BKN",1,88,12000,4,28,14,26,42,61,24,29,82,26,14,40,15,8,18,19,4,1,3,25,22,88,-95,-1,13,0,0,88,107,4,22,1,1,14,48,8,32,6
2136870,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5884,104464,NA,NA,TRUE,4388,4388,2662,"Real Madrid","Real Madrid","RMB",4390,2664,"Dreamland Gran Canaria","Dreamland GC","DGC",1,81,12000,14,30,46,15,31,48,9,14,64,22,8,30,22,6,11,3,4,4,2,21,18,88,50,-1,0,13,0,81,71,3,2363,0,18,3,26,6,36,8
2136871,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5884,104464,NA,NA,FALSE,4390,4388,2662,"Real Madrid","Real Madrid","RMB",4390,2664,"Dreamland Gran Canaria","Dreamland GC","DGC",1,71,12000,9,27,33,17,30,56,10,14,71,26,7,33,16,7,15,11,4,4,3,18,21,80,-50,-1,13,0,0,71,81,3,0,0,0,6,30,4,41,7
2136734,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5884,104463,NA,NA,TRUE,4401,4401,2674,"Coviran Granada","Coviran Granada","COV",4394,2716,"Joventut Badalona","Joventut","JOV",1,75,12000,4,18,22,22,40,55,19,31,61,25,11,36,12,4,11,6,2,5,0,20,22,71,-60,-1,13,0,0,75,87,4,0,0,0,2,38,6,27,7
2136735,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5884,104463,NA,NA,FALSE,4394,4401,2674,"Coviran Granada","Coviran Granada","COV",4394,2716,"Joventut Badalona","Joventut","JOV",1,87,12000,4,26,15,29,46,63,17,20,85,28,13,41,18,8,6,9,5,2,3,23,20,106,60,-1,0,13,0,87,75,4,2303,0,13,2,56,8,50,7
